"","latitud","longitud","taxon.name"
"1035",41.408385,2.194025,"Dichondra micrantha"
"1036",41.409095,2.19401,"Dichondra micrantha"
"1037",41.4053092815,2.1945390747,"Dichondra micrantha"
"1038",41.4094733333,2.19438,"Dichondra micrantha"
"1042",41.4056316667,2.1948483333,"Dichondra micrantha"
"1043",41.4089483333,2.1947233333,"Dichondra micrantha"
"1045",41.4096516667,2.1947233333,"Dichondra micrantha"
"1046",41.4100616667,2.1947633333,"Dichondra micrantha"
"1049",41.40928,2.19497,"Dichondra micrantha"
"1057",41.4094933333,2.1952016667,"Dichondra micrantha"
"1072",41.4097666667,2.1955683333,"Dichondra micrantha"
"1074",41.4102816667,2.1956283333,"Dichondra micrantha"
"1075",41.40983,2.19571,"Dichondra micrantha"
"1077",41.4055264635,2.1959533369,"Dichondra micrantha"
"1084",41.4100133333,2.1958916667,"Dichondra micrantha"
"1086",41.410075,2.1959516667,"Dichondra micrantha"
"1091",41.4102,2.196525,"Dichondra micrantha"
"1093",41.4111316667,2.19671,"Dichondra micrantha"
"1095",41.411195,2.1967516667,"Dichondra micrantha"
"1099",41.4107333333,2.19693,"Dichondra micrantha"
"1101",41.41095,2.1970566667,"Dichondra micrantha"
"1102",41.411435,2.197075,"Dichondra micrantha"
"1104",41.4116916667,2.19738,"Dichondra micrantha"
"1105",41.4112133333,2.197525,"Dichondra micrantha"
"1106",41.4120666667,2.1976483333,"Dichondra micrantha"
"1109",41.4051833333,2.1985283333,"Dichondra micrantha"
"1110",41.411365,2.1982133333,"Dichondra micrantha"
"1111",41.4123133333,2.198295,"Dichondra micrantha"
"1112",41.41179,2.1986266667,"Dichondra micrantha"
"1113",41.4126183333,2.1985833333,"Dichondra micrantha"
"1114",41.4063916625,2.1990371017,"Dichondra micrantha"
"1115",41.412365,2.199135,"Dichondra micrantha"
"1116",41.4134966667,2.1991366667,"Dichondra micrantha"
"1117",41.4124966667,2.1993216667,"Dichondra micrantha"
"1118",41.4129883333,2.1995283333,"Dichondra micrantha"
"1119",41.4133028,2.1996398,"Dichondra micrantha"
"1120",41.4061633333,2.2002116667,"Dichondra micrantha"
"1121",41.4136433333,2.2000716667,"Dichondra micrantha"
"1129",41.4136566667,2.2008833333,"Dichondra micrantha"
"1134",41.4069405701,2.2013367007,"Dichondra micrantha"
"1144",41.41414,2.2010333333,"Dichondra micrantha"
"1148",41.4138933333,2.20106,"Dichondra micrantha"
"1177",41.4144933333,2.2013566667,"Dichondra micrantha"
"1181",41.40709,2.2018083333,"Dichondra micrantha"
"1232",41.4149966667,2.201895,"Dichondra micrantha"
"1242",41.415095,2.2020366667,"Dichondra micrantha"
"1251",41.4145366667,2.2021783333,"Dichondra micrantha"
"1253",41.4142883333,2.20222,"Dichondra micrantha"
"1257",41.4144466667,2.20257,"Dichondra micrantha"
"1258",41.415545,2.202625,"Dichondra micrantha"
"1260",41.4068033333,2.2032033333,"Dichondra micrantha"
"1263",41.4149766667,2.202945,"Dichondra micrantha"
"1264",41.4068766667,2.2033916667,"Dichondra micrantha"
"1273",41.41529,2.2033733333,"Dichondra micrantha"
"1275",41.4159133333,2.20351,"Dichondra micrantha"
"1279",41.4156016667,2.203595,"Dichondra micrantha"
"1283",41.4162466667,2.2036733333,"Dichondra micrantha"
"1285",41.393275,2.20495,"Dichondra micrantha"
"1287",41.41593,2.2039183333,"Dichondra micrantha"
"1288",41.40778,2.2044583333,"Dichondra micrantha"
"1290",41.4166416667,2.2040983333,"Dichondra micrantha"
"1291",41.416195,2.2042183333,"Dichondra micrantha"
"1292",41.4164566667,2.2042666667,"Dichondra micrantha"
