"","taxon.name","cartodb_id","comarca","provincia","nom_comar","sup_comar","geometry"
"275","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1321895346, 41.3864573565)
"276","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.1331721667, 41.3740616667)
"277","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1332141384, 41.3733049117)
"278","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.1332633333, 41.3735516667)
"279","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.1332616667, 41.3737166667)
"280","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.1332883333, 41.3737383333)
"281","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.1333016667, 41.373715)
"282","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.1332454247, 41.3757598171)
"283","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.1335326508, 41.3743616131)
"284","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.132805, 41.39809)
"285","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.133655, 41.3903666667)
"286","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.1337983333, 41.390565)
